LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
KC120X09A000,KC120X11A000,KC120X10A000,480162,437119,D&O WW,OM,90427,TELECOMMUNICATIONS,DQ,D & O PUBLIC,2011-08-31,2012-08-30,2012-08-31,UNITED KINGDOM,2011.0,20000000.0,79261.25,60000.0,80010.0,0.0,0.0,10000000.0,FOLLOW,50.0,50.0,MARSH,60000000.0,0.0,6.0,0.5148,-0.1,22028.5,21822.36,60000.0,59438.52,0.5,0.0,0.0,158522.5,1.3335,0.3335,0.9358205224346938,2011,Excess,60000000.0,0.0,0.0,75.69903326026274,0.0,0.0,0.2753218347706537,0.36714166666666664,0.18900453,Lower quantile,Lower Middle,History
KA378B11A000,KA378B11A000,KA378B10A000,482136,-1,D&O WW,OM,90423,PROPERTY / REAL ESTATE,DN,D & O NOT PROFIT,2011-09-14,2012-09-13,2012-09-14,MALTA,2011.0,308900.0,1581.568,926.7,1976.96,0.0,0.0,308900.0,LEAD,100.0,100.0,HOWDEN,0.0,1853.4,0.0,0.3329,0.0,0.0,0.0,926.7,741.36,1.0,0.0,0.0,1581.568,2.1333333333333333,1.1333333333333333,20.000000000000007,2011,Primary,1853.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lower quantile,Lower quantile,History
KB887C10B000,KB887C10B000,,420881,-1,D&O WW,OM,90427,TELECOMMUNICATIONS,DP,D & O PRIVATE,2010-04-01,2011-03-31,2011-04-01,TRINIDAD & TOBAGO,2010.0,30000000.0,7868.24,7501.5,9835.3,0.0,0.0,5001000.0,FOLLOW,16.67,50.0,AON,30000000.0,25000.0,0.0,0.5707,0.0,5437.75,4350.2,7501.5,6001.2,0.1667,0.0,0.0,47200.0,1.3111111111111111,0.311111111111111,19.999999999999996,2010,Excess,30025000.0,0.0,0.0,0.0,0.0,0.0,0.5528809492338821,0.7248883556622009,0.41369378457641803,Lower Middle,Upper Middle,History
KA044L07B000,KA044L16B000,KA044L15B000,738372,695863,D&O WW,OM,90428,TRANSPORT,FY,FIDUCIARY,2016-11-01,2017-10-31,2017-11-01,QUEBEC,2016.0,15000000.0,19462.9201,20164.65,20164.65,0.0,0.0,4999500.0,FOLLOW,33.33,66.67,MARSH,40000000.0,1000000.0,0.0,0.713,0.0,2458.42,2372.87,20164.65,19462.92,0.3333,0.0,0.0,58394.599759976,1.0,0.0,3.4800003967338955,2016,Excess,41000000.0,0.0,0.0,0.0,0.0,0.0,0.121917315698512,0.121917315698512,0.08692704609303904,Upper Quantile,Lower quantile,Recent
KF393F17A000,KF393F20A000,KF393F19A000,931852,-1,D&O WW,OM,90427,TELECOMMUNICATIONS,DT,D & O PUBLIC - 1 A SIDE,2020-03-31,2021-03-30,2021-03-31,CALIFORNIA,2020.0,10000000.0,42116.36,36514.03,52762.78,0.0,0.0,10000000.0,LEAD,100.0,100.0,AON,160000000.0,0.0,0.0,0.534,0.0,33615.73,26832.78,36514.03,29146.27,1.0,0.0,0.0,42116.36,1.4450001821217762,0.4450001821217762,20.177898131978633,2020,Excess,160000000.0,0.0,0.0,0.0,0.0,0.0,0.6371106677851319,0.9206250309812422,0.4916137665439833,Lower quantile,Upper Middle,Recent
KF044F03A000,KF044F17A000,KF044F16A000,744556,704658,D&O WW,OM,90423,PROPERTY / REAL ESTATE,DN,D & O NOT PROFIT,2017-01-11,2018-05-01,2018-05-02,USA VIRGIN ISLANDS,2017.0,5000000.0,15616.8,19521.0,19521.0,0.0,0.0,5000000.0,LEAD,100.0,100.0,R K HARRISON,0.0,25000.0,0.0,0.746,0.0,8598.0,6878.4,19521.0,15616.8,1.0,0.0,0.0,15616.8,1.0,0.0,20.000000000000007,2017,Primary,25000.0,0.0,0.0,0.0,0.0,0.0,0.4404487475026894,0.4404487475026894,0.3285747656370063,Upper Quantile,Upper Middle,Recent
KC366V09A000,KC366V13A000,KC366V12A000,553095,505445,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2013-03-23,2014-03-22,2014-03-23,UNITED KINGDOM,2013.0,12356000.0,21005.2,18534.0,21005.2,0.0,0.0,12356000.0,LEAD,100.0,100.0,LOCKTON,0.0,0.0,0.0,0.6581,0.0,2520.62,2520.62,18534.0,18534.0,1.0,0.0,0.0,21005.2,1.1333333333333333,0.13333333333333336,0.0,2013,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.11999980957096337,0.13599978418042516,0.0895014579691378,Upper Middle,Lower quantile,History
KD946B14A000,KD946B14A000,,643155,-1,D&O WW,OM,90424,RETAILERS,DT,D & O PUBLIC - 1 A SIDE,2014-11-01,2015-10-31,2015-11-01,QUEBEC,2014.0,10000000.0,8856.875,7500.0,9575.0,0.0,0.0,5000000.0,LEAD,50.0,50.0,MARSH,90000000.0,500000.0,1.0,0.5114,0.0,2324.0,2149.7,7500.0,6937.5,0.5,0.0,0.0,17713.75,1.2766666666666666,0.27666666666666667,7.499999999999996,2014,Excess,90500000.0,0.0,0.0,112.90664032178393,0.0,0.0,0.2427154046997389,0.3098666666666667,0.15846581333333332,Lower quantile,Lower Middle,History
KB912N08A000,KB912N13A000,KB912N12A000,560670,514220,D&O WW,OM,90427,TELECOMMUNICATIONS,DT,D & O PUBLIC - 1 A SIDE,2013-06-01,2014-05-31,2014-06-01,FINLAND,2013.0,112317062.0853,15021.873547863966,11231.70620853,15443.596036728748,0.0,0.0,5615853.104265,FOLLOW,5.0,15.0,JLT,224634124.1706,0.0,0.0,0.5425,-0.1,8707.16,8469.39,11231.71,10925.0,0.049999999999999996,0.0,0.0,300437.4709572794,1.3749999999999998,0.3749999999999998,2.7307272727272847,2013,Excess,224634124.1706,0.0,0.0,0.0,0.0,0.0,0.5638039210098599,0.7752301296953003,0.4205623453597004,Lower quantile,Upper Middle,History
KD967B15A000,KD967B15A000,,655223,-1,D&O WW,OM,90420,MINING,DT,D & O PUBLIC - 1 A SIDE,2015-02-01,2016-01-31,2016-02-01,MARYLAND,2015.0,10000000.0,7500.0,10000.0,10000.0,0.0,0.0,2500000.0,FOLLOW,25.0,25.0,MARSH,50000000.0,0.0,0.0,0.7153,0.0,12081.0,9060.75,10000.0,7500.0,0.25,0.0,0.0,30000.0,1.0,0.0,25.0,2015,Excess,50000000.0,0.0,0.0,0.0,0.0,0.0,1.2081,1.2081,0.8641539300000001,Upper Quantile,Upper Quantile,History
