LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
TM658F14A000,TM658F20A000,TM658F19A000,930870,890543,FI D&O,OM,90500,COMMERCIAL BANK,DQ,D & O PUBLIC,2020-06-23,2021-06-22,2021-06-23,ICELAND,2020.0,11231706.20853,28890.851764394058,27023.65361331631,31271.386623953033,0.0,0.0,5054267.7938385,LEAD,45.0,45.0,R K HARRISON,22463412.41706,0.0,0.0,0.668,4.55,14585.61,13475.28,27023.65,24966.48,0.45,0.0,0.0,64201.89280976457,1.1571857407372772,0.15718574073727723,7.612501767783941,2020,Excess,22463412.41706,0.0,0.0,0.0,0.0,0.0,0.4664203150118012,0.5397350098894856,0.36054298660617645,Lower Middle,Upper Quantile,Recent
TL110N09A000,TL110N11A000,TL110N10A000,478295,436188,FI D&O,Re,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2011-08-06,2012-08-05,2012-08-06,JAMAICA,2011.0,5000000.0,5472.8437,7425.0,7548.75,0.0,0.0,2475000.0,LEAD,49.5,75.0,THB GROUP,0.0,0.0,0.0,0.7368,0.0,7425.0,5383.13,7425.0,5383.13,0.495,0.0,0.0,11056.2498989899,1.0166666666666666,0.016666666666666666,27.500000662361312,2011,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.9836065573770492,1.0,0.7368,Upper Middle,Upper Quantile,History
TO125V04A000,TO125V11A000,TO125V10A000,479038,426029,FI D&O,OM,90506,INSURANCE COMPANY,DP,D & O PRIVATE,2011-08-16,2012-08-15,2012-08-16,USA,2011.0,5000000.0,56184.5,60750.0,60740.0,7122.5,0.0,5000000.0,LEAD,100.0,100.0,AON,25000000.0,10000000.0,1.0,0.7492,-0.07,164595.0,152250.38,60750.0,56193.75,1.0,7122.5,7122.5,56184.5,0.9998353909465021,-0.0001646090534979424,7.499999999999996,2011,Excess,35000000.0,0.0,0.0014245,17.79850314588543,0.0,0.126769838656569,2.7098287783997366,2.7093827160493826,2.029869530864197,Upper Middle,Upper Quantile,History
TM696N14A000,TM696N17A000,TM696N16A000,777390,727431,FI D&O,OM,90506,INSURANCE COMPANY,DP,D & O PRIVATE,2017-07-15,2018-07-14,2018-07-15,ICELAND,2017.0,12356000.0,24215.90808272,30884.056764,32287.877526,0.0,0.0,2807641.524,LEAD,22.7229,33.34,R K HARRISON,0.0,0.0,0.0,0.69,0.0,2807.64,2105.73,30884.06,23163.04,0.22722900000000001,0.0,0.0,106570.49972811568,1.0454545454545454,0.045454545454545435,25.000000191341154,2017,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.08695647453875317,0.09090903203788621,0.06272723210614148,Lower Middle,Upper Quantile,Recent
TP164K20A000,TP164K20A000,,942155,-1,FI D&O,OM,90500,COMMERCIAL BANK,DT,D & O PUBLIC - 1 A SIDE,2020-06-30,2021-06-29,2021-06-30,UNITED KINGDOM,2020.0,30890000.0,62302.55538028,51429.71772508,62302.55538028,0.0,0.0,6715207.99,LEAD,21.7391,25.0,WILLIS,401570000.0,0.0,1.0,0.616,0.0,33180.31,33180.31,51429.72,51429.72,0.217391,0.0,0.0,286592.1559783064,1.2114115755665094,0.21141157556650939,0.0,2020,Excess,401570000.0,0.0,0.0,16.050706008706026,0.0,0.0,0.5325674010877285,0.6451582859093924,0.3974175041201857,Lower quantile,Upper Quantile,Recent
TM685Z14A000,TM685Z15A000,TM685Z14A000,679415,620008,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2015-06-26,2016-06-25,2016-06-26,UNITED KINGDOM,2015.0,24712000.0,6726.248076,6726.248076,6726.248076,350180.605216,0.0,4484165.384,FOLLOW,18.1457,25.0,WILLIS,0.0,0.0,2.0,0.717,0.0,13452.5,13452.5,6726.25,6726.25,0.18145699999999998,350180.605216,1929826.9298842151,37068.0,1.0,0.0,0.0,2015,Primary,0.0,0.0,0.07809270515879796,297.3425864467031,0.0,52.061803439198634,2.0000005720871363,2.0,1.434,Lower Middle,Upper Quantile,History
TF087F04A000,TF087F10A000,TF087F09A000,450837,408093,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2010-12-31,2012-06-30,2012-07-01,WORLDWIDE,2010.0,21106935.428759996,19212.79440552,23610.19101512,24790.70055352,0.0,0.0,10553467.714379998,LEAD,50.0,50.0,LONMAR GLOBAL RISKS LIMITED,0.0,0.0,0.0,0.735,0.0,23610.19,18297.9,23610.19,18297.9,0.5,0.0,0.0,38425.58881104,1.0499999994766667,0.04999999947666673,22.49999404396824,2010,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809119080185,1.0,0.735,Upper Middle,Upper Quantile,History
TM658F14B000,TM658F14B000,,619214,-1,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2014-06-01,2015-05-31,2015-06-01,WORLDWIDE,2014.0,22463412.41706,13688.641941645936,11231.70620853,18251.522588861248,0.0,0.0,5615853.104265,FOLLOW,25.0,50.0,HOWDEN,22463412.41706,0.0,1.0,0.447,0.0,5615.85,4211.89,11231.71,8423.78,0.25,0.0,0.0,54754.56776658374,1.6249999999999998,0.6249999999999998,25.0,2014,Excess,22463412.41706,0.0,0.0,73.05326593119719,0.0,0.0,0.3076921376097853,0.4999995548318111,0.22349980100981956,Lower quantile,Upper Quantile,History
TC856G07A000,TC856G10A000,TC856G09A000,442732,399464,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2010-10-12,2011-10-11,2011-10-12,UNITED KINGDOM,2010.0,5000000.0,7350.0,6534.0,7350.0,0.0,0.0,2500000.0,LEAD,50.0,50.0,MILLER INSURANCE SERVICES,0.0,250000.0,0.0,0.686,-0.1,6534.0,6534.0,6534.0,6534.0,0.5,0.0,0.0,14700.0,1.1248852157943068,0.1248852157943067,0.0,2010,Primary,250000.0,0.0,0.0,0.0,0.0,0.0,0.8889795918367347,1.0,0.686,Lower Middle,Upper Quantile,History
TP199J20A000,TP199J20A000,,945895,-1,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2020-08-02,2021-08-01,2021-08-02,AUSTRALIA,2020.0,6885099.74368,35151.91998896,35620.17099636,39562.35712096,0.0,0.0,3442549.87184,LEAD,50.0,50.0,MARSH,34425498.7184,0.0,0.0,0.663,0.0,23443.69,20830.17,35620.17,31649.2,0.5,0.0,0.0,70303.83997792,1.1106728579434064,0.11067285794340645,11.148064607261144,2020,Excess,34425498.7184,0.0,0.0,0.0,0.0,0.0,0.5925756629798888,0.6581577235594328,0.43635857071990397,Lower Middle,Upper Quantile,Recent
