LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
CL589A15A000,CL589A15A000,,696435,-1,SPECIE,OM,23716,Pawn Broker,SP,SPECIE,2015-12-01,2016-11-30,2016-12-01,WORLDWIDE,2015.0,20000000.0,73144.3289,115198.6704,104491.8984,414.49,0.0,5946720.0,FOLLOW,29.7336,33.33,MARSH,0.0,15000.0,2.0,0.85,0.0,0.0,0.0,115198.67,80639.07,0.297336,414.49,1394.0121613259075,245998.89989775876,0.9070581981300367,-0.09294180186996322,29.99999998085977,2015,Primary,15000.0,0.0,6.970060806629537e-05,27.343199808891814,0.0,0.005666741444393785,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CK787K15A000,CK787K17A000,CK787K16A000,786283,727723,SPECIE,OM,23807,Retail,JB,JEWELLERS BLOCK,2017-06-21,2018-06-30,2018-07-01,WORLDWIDE,2017.0,10000000.0,36890.2442,50479.4766,61483.7404,89856.07,79169.12,3308370.0,FOLLOW,33.0837,33.34,ARTHUR J. GALLAGHER & CO.,0.0,5000.0,3.0,0.65,-0.1,0.0,0.0,50479.48,30287.69,0.330837,10686.950000000012,32302.7654101567,111505.7995327004,1.2179948078146279,0.2179948078146278,40.00000006505785,2017,Primary,5000.0,0.0239299473758981,0.00323027654101567,81.32231339363159,2.1460719959126755,0.289695832374024,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CP217Z19A000,CP217Z19A000,,898051,-1,SPECIE,Binder,24111,ASSETGUARD,WA,Fine Arts/War,2019-03-15,2020-06-30,2020-07-01,USA,2019.0,10000000.0,5600.0,7792.24,8000.0,0.0,0.0,8000000.0,LEAD,80.0,80.0,ACN SERVICES LONDON,0.0,0.0,0.0,0.75,0.0,9740.3,6818.21,9740.3,6818.21,0.8,0.0,0.0,7000.0,1.0266624231286512,0.026662423128651098,30.000000000000004,2019,Primary,0.0,0.0,0.0,0.0,0.0,0.0,1.2175375,1.0,0.75,Upper Quantile,Upper Quantile,Recent
CN222F18A000,CN222F18A000,,818454,-1,SPECIE,OM,23807,Retail,JB,JEWELLERS BLOCK,2018-01-01,2019-04-01,2019-04-02,WORLDWIDE,2018.0,1000000.0,6181.25,10570.14,10750.0,0.0,0.0,1000000.0,LEAD,100.0,100.0,JLT,0.0,1000.0,0.0,0.8,0.0,0.0,0.0,10570.14,6077.83,1.0,0.0,0.0,6181.25,1.0170158578788928,0.01701585787889286,42.50000000000001,2018,Primary,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CL614K15A000,CL614K16A000,CL614K15A000,752388,698258,SPECIE,OM,23806,Wholesale ,JB,JEWELLERS BLOCK,2016-12-09,2017-12-08,2017-12-09,MEXICO,2016.0,9000000.0,1513.0688,2130.748,2521.7813,0.0,0.0,696753.0,FOLLOW,7.7417,66.67,ARTHUR J. GALLAGHER & CO.,0.0,3500.0,0.0,0.65,-0.05,0.0,0.0,2130.75,1278.45,0.077417,0.0,0.0,19544.39980882752,1.18351926178037,0.18351926178037012,39.99999920690982,2016,Primary,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CP215C19C000,CP215C21C000,CP215C19C000,962329,900410,SPECIE,OM,23705,Precious Metal Refining/Recycling,SP,SPECIE,2021-01-01,2021-12-31,2022-01-01,BELGIUM,2021.0,275176802.108985,27732.87071648897,45470.03956587183,41238.46841888387,0.0,0.0,27517680.2108985,FOLLOW,10.0,2.4,Unknown,33695118.625590004,0.0,0.0,0.8343,0.0,56837.55,38223.25,56837.55,38223.25,0.09999999999999999,0.0,0.0,277328.7071648897,0.9069371571393128,-0.09306284286068721,32.74999829094146,2021,Excess,33695118.625590004,0.0,0.0,0.0,0.0,0.0,1.3782652988628699,1.0,0.8343,Upper Quantile,Upper Quantile,Recent
CN045V17A000,CN045V17A000,,803609,-1,SPECIE,OM,23807,Retail,JB,JEWELLERS BLOCK,2017-09-27,2018-10-10,2018-10-11,WORLDWIDE,2017.0,40000000.0,5691.0399,8087.001,7113.7999,0.0,0.0,2000000.0,FOLLOW,5.0,20.0,ARTHUR J. GALLAGHER & CO.,0.0,10000.0,0.0,0.9,0.0,0.0,0.0,8087.0,6469.6,0.05,0.0,0.0,113820.798,0.8796585903723766,-0.12034140962762342,20.000000281143706,2017,Primary,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CL677K16A000,CL677K16A000,,702055,-1,SPECIE,Re,23900,Cash in Transit,CA,CASH IN TRANSIT,2016-01-14,2017-01-13,2017-01-14,NORTH AMERICA,2016.0,25000000.0,9090.3263,15452.2927,13985.1174,4885.92,0.0,1116843.75,FOLLOW,4.4674,25.0,WILLIS,0.0,2500.0,1.0,0.85,0.0,0.0,0.0,15452.29,10043.99,0.04467375,4885.92,109368.92470410476,203482.4992305325,0.9050512873083228,-0.09494871269167719,35.00000007150458,2016,Primary,2500.0,0.0,0.004374756988164191,110.0070522220968,0.0,0.5374856565929872,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG053Q14C000,CG053Q14C000,,616357,-1,SPECIE,Re,23707,ATM,SP,SPECIE,2014-05-01,2015-04-30,2015-05-01,UKRAINE,2014.0,280792.65521325,195.683165930431,255.3289171167054,223.638658049338,0.0,0.0,34748.09108264,FOLLOW,12.375,45.0,MARSH,0.0,5615.853104265,0.0,0.86,0.0,0.0,0.0,255.33,223.41,0.1237500000000011,0.0,0.0,1581.2781085287213,0.8758845671488026,-0.12411543285119744,12.500295057547529,2014,Primary,5615.853104265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG019A14A000,CG019A15A000,CG019A14A000,670117,610831,SPECIE,OM,24105,Corporate Collection,WA,Fine Arts/War,2015-05-22,2016-05-21,2016-05-22,USA,2015.0,150000000.0,19395.5155,25156.2703,25860.6874,3704.12,0.0,16774500.0,FOLLOW,11.183,20.0,LLOYD & PARTNERS LIMITED,0.0,0.0,2.0,0.75,0.0,0.0,0.0,25156.27,18867.2,0.11183,3704.12,33122.775641598855,173437.49888223197,1.0280016509442578,0.028001650944257772,25.000000193343652,2015,Primary,0.0,0.0,0.0002208185042773257,103.11661992175458,0.0,0.1909781670922848,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
